,date
https://www.npr.org/sections/live-updates-protests-for-racial-justice/2020/10/14/923695262/woman-who-called-police-on-black-bird-watcher-allegedly-made-a-second-911-call,"The woman was captured on cellphone video calling police on a Black bird-watcher in Central Park this summer. She allegedly went a step further in the second call, saying he ""tried to assault her.""",,20201015-1100
https://www.npr.org/2020/10/13/923212919/its-time-to-make-your-plan-to-vote-bring-your-ppe-and-patience,NPR's Allison Aubrey spoke with Myrna Pérez of the Brennan Center for Justice about how voters can make election day go smoothly — from what they need to bring to keeping others safe.,,20201015-1100
https://www.npr.org/sections/coronavirus-live-updates/2020/10/14/923727094/paris-under-curfew-europe-reacts-as-countries-see-highest-ever-coronavirus-numbe,"President Emmanuel Macron announced nightly curfews for Paris and other cities Wednesday, part of a wave of new coronavirus restrictions in Europe.",,20201015-1100
https://www.npr.org/2020/10/14/922153898/his-private-border-wall-enraged-neighbors-then-he-landed-2b-to-build-walls-for-t,The privately built border wall in Texas teeters on the banks of the Rio Grande with serious erosion problems. The contractor was awarded more than $2 billion in official wall contracts.,,20201015-1100
https://www.npr.org/2020/10/14/923851384/biden-announces-record-383-million-september-haul,"The total is a new record-breaking one-month sum, topping its August record of $364.5 million.",,20201015-1100
https://www.npr.org/sections/live-updates-protests-for-racial-justice/2020/10/14/923674576/gun-waving-st-louis-couple-plead-not-guilty-to-2-felony-charges,A grand jury indicted Mark and Patricia McCloskey last week on weapon and evidence charges. The case stems from a confrontation between the McCloskeys and protesters for racial justice on June 28.,,20201015-1100
https://www.npr.org/sections/coronavirus-live-updates/2020/10/14/923785152/russias-putin-announces-approval-of-a-second-unproven-coronavirus-vaccine,"The announcement comes two months after the Russian leader touted ""registration"" of what was billed as the world's first SARS-CoV-2 vaccine. But neither drug has completed large-scale human trials.",,20201015-1100
https://www.npr.org/sections/coronavirus-live-updates/2020/10/14/923800388/barron-trump-tested-positive-for-coronavirus-but-now-negative,"First lady Melania Trump says she dreaded the diagnosis after she and the president got sick. ""Luckily [Barron] is a strong teenager and exhibited no symptoms.""",,20201015-1100
https://www.npr.org/2020/10/14/923621814/why-an-auto-plant-closure-looms-large-in-ohios-presidential-contest,"In 2016, support for Donald Trump surged in northeast Ohio. But the 2019 closure of General Motors' plant in Lordstown may have changed residents' views.",,20201015-1100
https://www.npr.org/2020/10/14/923851891/lemur-missing-possibly-stolen-from-san-francisco-zoo,"""We understand that lemurs are adorable animals, but Maki is a highly endangered animal that requires special care. We are asking the public for help in his return,""  zoo officials said on Wednesday.",,20201015-1100
https://www.npr.org/sections/health-shots/2020/10/14/923658129/water-or-a-sports-drink-these-brain-cells-may-decide-which-one-we-crave,"Scientists have identified specialized brain cells that create two distinct kinds of thirst. Some cells respond to a need for water alone, while others produce a craving for water and salt.",,20201015-1100
